Artigo,Fator,Descrição,Categoria,Ordem
o,Orçamento Disponível,Recursos financeiros alocados,Fator Externo,5
a,Documentação de Projeto,Grau de detalhamento e organização dos registros dos projetos atuais e histórico de projetos passados.,Fator Externo,1
a,Temperatura Ambiente,Influência da temperatura ambiente durante o momento de execução do teste,Fator Externo,11
o,Volume da Câmara,"Definição do comprimento e diâmetro da câmara de combustão e, consequentemente, definição do volume disponível para o propelente",Projeto,6
a,Razão de mistura O/F e controle de vazão do oxigênio,Definição da razão de mistura do oxidante e do propelente (razão O/F) e controle de estabilidade da pressão do tanque ao longo da queima,Projeto,7
a,Temperatura do Oxigênio,Definição da temperatura inicial do tanque de oxigênio,Projeto,8
a,Massa de Parafina,Massa de propelente colocada na câmara de combustão,Propelente,9
o,Acabamento Superficial do Grão e pureza da parafina,Controle do grau de rugosidade e impureza do combustível sólido (parafina),Propelente,10
a,Experiência da Equipe,Fator relacionado ao grau de conhecimento prático e teórico dos membros no desenvolvimento de foguetes híbridos,Qualitativo,2
a,Disponibilidade de Tempo,Tempo efetivo que os membros podem dedicar ao projeto,Qualitativo,4
a,Qualidade da Comunicação,Clareza e eficiência na troca de informações entre os integrantes.,Qualitativo,3
o,Sucesso do Lançamento,"Fator relacionado ao resultado final de um voo estável (ou teste estático estável), desempenho próximo ao previsto e ausência de falhas críticas.",Sucesso,12
